fc_demand,fc_nuclear,import_FR,export_FR,fc_wind,fc_solar_pv,fc_solar_th,price,date,hour
24400.0,7117.2,3000.0,2600.0,1732.0,0.0,5.1,58.82,2017-01-01,0
23616.0,7117.2,3000.0,2650.0,1826.0,0.0,0.6,58.23,2017-01-01,1
21893.0,7117.2,3000.0,2650.0,1823.0,0.0,4.6,51.95,2017-01-01,2
20693.0,7117.2,3000.0,2650.0,1777.0,0.0,9.7,47.27,2017-01-01,3
19599.0,7117.2,3000.0,2650.0,1746.0,0.0,24.1,45.49,2017-01-01,4
19211.0,7117.2,3000.0,2650.0,1662.0,0.0,30.4,44.5,2017-01-01,5
19314.0,7117.2,3000.0,2650.0,1684.0,0.0,40.0,44.5,2017-01-01,6
19538.0,7117.2,3000.0,2650.0,1780.0,0.0,45.5,44.72,2017-01-01,7
19651.0,7117.2,3000.0,2650.0,1803.0,56.5,43.2,44.22,2017-01-01,8
20066.0,7117.2,3000.0,2650.0,1737.0,488.3,74.6,45.13,2017-01-01,9
22001.0,7117.2,3000.0,2650.0,1562.0,1188.9,188.4,46.23,2017-01-01,10
23417.0,7117.2,3000.0,2650.0,1433.0,1730.5,325.7,47.91,2017-01-01,11
24157.0,7117.2,3000.0,2650.0,1506.0,1883.2,501.6,49.57,2017-01-01,12
24581.0,7117.2,3000.0,2650.0,1541.0,2129.9,585.8,48.69,2017-01-01,13
24680.0,7117.2,3000.0,2650.0,1565.0,2049.7,713.0,47.2,2017-01-01,14
23469.0,7117.2,3000.0,2650.0,1475.0,1679.2,816.2,46.51,2017-01-01,15
22930.0,7117.2,3000.0,2650.0,1441.0,1153.1,897.9,46.52,2017-01-01,16
23628.0,7117.2,3000.0,2650.0,1506.0,307.8,685.1,51.59,2017-01-01,17
26530.0,7117.2,2600.0,2200.0,2015.0,23.7,315.2,59.07,2017-01-01,18
27830.0,7117.2,2600.0,2200.0,2460.0,0.0,79.9,62.1,2017-01-01,19
28630.0,7117.2,2600.0,2200.0,2840.0,0.0,22.2,64.2,2017-01-01,20
29180.0,7117.2,3000.0,2600.0,3395.0,0.0,29.3,60.69,2017-01-01,21
