fc_demand,fc_nuclear,import_FR,export_FR,fc_wind,fc_solar_pv,fc_solar_th,date,hour
24744.0,7117.2,2300.0,1750.0,2751.0,0.0,627.1,2020-09-01,0
23426.0,7117.2,2300.0,2100.0,2452.0,0.0,606.6,2020-09-01,1
22597.0,7117.2,2300.0,2100.0,2060.0,0.0,528.3,2020-09-01,2
22285.0,7117.2,2300.0,2100.0,1736.0,0.0,598.5,2020-09-01,3
22192.0,7117.2,2300.0,2100.0,1322.0,0.0,474.9,2020-09-01,4
22513.0,7117.2,2300.0,2100.0,1131.0,0.0,238.5,2020-09-01,5
24475.0,7117.2,2300.0,2100.0,1168.0,0.0,104.2,2020-09-01,6
26802.0,7117.2,2300.0,1750.0,1170.0,16.8,27.7,2020-09-01,7
28504.0,7117.2,2300.0,1750.0,1073.0,575.8,22.2,2020-09-01,8
29808.0,7117.2,2300.0,1750.0,917.0,1870.7,102.6,2020-09-01,9
30876.0,7117.2,2300.0,1750.0,817.0,3190.4,500.8,2020-09-01,10
31334.0,7117.2,2300.0,1750.0,820.0,4048.3,869.9,2020-09-01,11
32178.0,7117.2,2300.0,1750.0,808.0,4392.9,821.9,2020-09-01,12
32465.0,6771.9,2300.0,1750.0,836.0,4656.2,886.9,2020-09-01,13
31469.0,6771.9,2300.0,1750.0,1008.0,4796.0,943.5,2020-09-01,14
30490.0,6421.9,2300.0,1750.0,1561.0,4986.5,852.8,2020-09-01,15
30170.0,6421.9,2300.0,1750.0,2132.0,4696.0,887.7,2020-09-01,16
29876.0,6071.9,2300.0,1750.0,2685.0,3978.8,1452.8,2020-09-01,17
29479.0,6071.9,2300.0,1750.0,3618.0,3167.4,1354.5,2020-09-01,18
29352.0,6071.9,2300.0,1750.0,4677.0,1566.2,945.8,2020-09-01,19
29868.0,6071.9,2300.0,1750.0,5704.0,271.5,668.3,2020-09-01,20
31050.0,6071.9,2300.0,1750.0,6028.0,0.0,417.8,2020-09-01,21
28839.0,6071.9,2300.0,1750.0,6641.0,0.0,259.3,2020-09-01,22
26425.0,6071.9,2300.0,1750.0,7209.0,0.0,158.3,2020-09-01,23
24845.0,6071.9,2300.0,1750.0,7351.0,0.0,121.7,2020-09-02,0
23568.0,6071.9,2300.0,2100.0,7381.0,0.0,26.8,2020-09-02,1
22768.0,6071.9,2300.0,2100.0,7302.0,0.0,15.3,2020-09-02,2
22338.0,6071.9,2300.0,2100.0,6945.0,0.0,20.6,2020-09-02,3
22366.0,6071.9,2300.0,2100.0,6562.0,0.0,27.6,2020-09-02,4
22762.0,6071.9,2300.0,2100.0,6438.0,0.0,30.1,2020-09-02,5
24724.0,6071.9,2300.0,2100.0,6117.0,0.0,27.5,2020-09-02,6
26969.0,6071.9,2300.0,1750.0,5865.0,17.7,26.7,2020-09-02,7
28344.0,6071.9,2300.0,1750.0,5287.0,962.8,32.2,2020-09-02,8
29704.0,5915.1,2300.0,1750.0,4416.0,3436.5,300.2,2020-09-02,9
30692.0,5915.1,2300.0,1750.0,4115.0,5155.4,1400.2,2020-09-02,10
31263.0,5915.1,2300.0,1750.0,3711.0,6164.5,1894.0,2020-09-02,11
32031.0,5915.1,2300.0,1750.0,3004.0,6619.1,2012.7,2020-09-02,12
32474.0,5915.1,2300.0,1750.0,2459.0,6809.2,2130.6,2020-09-02,13
31793.0,5915.1,2300.0,1750.0,2272.0,6684.0,2106.3,2020-09-02,14
30802.0,5915.1,2300.0,1750.0,2601.0,6352.5,2062.1,2020-09-02,15
30543.0,5915.1,2300.0,1750.0,3081.0,5858.9,2027.6,2020-09-02,16
30398.0,5915.1,2300.0,1750.0,3672.0,5305.7,2032.7,2020-09-02,17
30111.0,5915.1,2300.0,1750.0,4239.0,4182.9,1961.8,2020-09-02,18
29904.0,5915.1,2300.0,1750.0,4814.0,2046.6,1702.6,2020-09-02,19
30276.0,5915.1,2300.0,1750.0,4930.0,383.2,1089.3,2020-09-02,20
31198.0,5915.1,2300.0,1750.0,5105.0,0.0,656.4,2020-09-02,21
28977.0,5915.1,2300.0,1750.0,5173.0,0.0,570.4,2020-09-02,22
26792.0,5915.1,2300.0,1750.0,4922.0,0.0,537.1,2020-09-02,23
25301.0,6071.9,2300.0,1750.0,4697.0,0.0,513.7,2020-09-03,0
23988.0,6071.9,2300.0,2100.0,4248.0,0.0,461.5,2020-09-03,1
23125.0,7117.2,2300.0,2100.0,3826.0,0.0,447.4,2020-09-03,2
22785.0,7117.2,2300.0,2100.0,3479.0,0.0,457.8,2020-09-03,3
22993.0,7117.2,2300.0,2100.0,3061.0,0.0,329.0,2020-09-03,4
23333.0,7117.2,2300.0,2100.0,2590.0,0.0,270.3,2020-09-03,5
24948.0,7117.2,2300.0,2100.0,2279.0,0.0,166.6,2020-09-03,6
27083.0,7117.2,2300.0,1750.0,2154.0,21.6,82.8,2020-09-03,7
28476.0,7117.2,2300.0,1750.0,2076.0,989.2,80.4,2020-09-03,8
30024.0,7117.2,2300.0,1750.0,2056.0,3501.3,385.6,2020-09-03,9
31096.0,6256.9,2300.0,1750.0,2016.0,5198.1,1565.7,2020-09-03,10
31831.0,6256.9,2300.0,1750.0,2150.0,6213.4,2015.4,2020-09-03,11
32680.0,6286.9,2300.0,1750.0,2074.0,6727.9,2143.7,2020-09-03,12
33226.0,6411.9,2300.0,1750.0,2146.0,6945.2,2136.6,2020-09-03,13
32374.0,6411.9,2300.0,1750.0,2246.0,6877.8,2133.3,2020-09-03,14
31473.0,7117.2,2300.0,1750.0,2422.0,6667.3,2112.7,2020-09-03,15
31410.0,7117.2,2300.0,1750.0,2612.0,6205.8,2101.0,2020-09-03,16
31321.0,7117.2,2300.0,1750.0,2943.0,5510.9,2058.1,2020-09-03,17
30618.0,7117.2,2300.0,1750.0,3139.0,4282.4,2052.0,2020-09-03,18
